evaluate_agent (LunarLanderContinuous-v2)
global_step=64196, episodic_return=[5.9737754]
global_step=64236, episodic_return=[6.6325455]
global_step=64600, episodic_return=[17.750374]
global_step=64796, episodic_return=[34.837143]
global_step=64804, episodic_return=[7.327408]
global_step=65120, episodic_return=[-8.241478]
SPS: 1369
global_step=65660, episodic_return=[-23.122948]
global_step=66216, episodic_return=[48.005096]
global_step=66660, episodic_return=[11.720795]
global_step=67304, episodic_return=[-79.8653]
global_step=68804, episodic_return=[-34.931244]
global_step=69112, episodic_return=[-121.87459]
global_step=69120, episodic_return=[4.298608]
global_step=69436, episodic_return=[2.733612]
global_step=69912, episodic_return=[-41.2173]
global_step=70076, episodic_return=[-42.744247]
global_step=70532, episodic_return=[-0.28137207]
global_step=71240, episodic_return=[-30.976936]
global_step=71304, episodic_return=[-66.85312]
global_step=71308, episodic_return=[-26.99469]
global_step=73436, episodic_return=[-22.21884]
SPS: 1325
global_step=75240, episodic_return=[-11.613125]
global_step=75304, episodic_return=[-7.364815]
global_step=75308, episodic_return=[19.347572]
global_step=77436, episodic_return=[-53.981358]
global_step=78632, episodic_return=[-54.195335]
global_step=79240, episodic_return=[24.82162]
global_step=79304, episodic_return=[-25.432688]
global_step=79308, episodic_return=[1.2726266]
global_step=80000, episodic_return=[-55.090805]
global_step=80708, episodic_return=[10.171997]
SPS: 1367
evaluate_agent (LunarLanderContinuous-v2)
eval_episode=0, episodic_return=[-280.5619], episodic_length=[182]
eval_episode=1, episodic_return=[-518.0156], episodic_length=[536]
eval_episode=2, episodic_return=[-439.13535], episodic_length=[474]
eval_episode=3, episodic_return=[-521.2934], episodic_length=[516]
eval_episode=4, episodic_return=[-453.17798], episodic_length=[430]
eval_episode=5, episodic_return=[-206.89108], episodic_length=[117]
eval_episode=6, episodic_return=[-296.1217], episodic_length=[243]
eval_episode=7, episodic_return=[-440.18698], episodic_length=[432]
eval_episode=8, episodic_return=[-438.1686], episodic_length=[372]
eval_episode=9, episodic_return=[-238.68568], episodic_length=[173]
global_step=83240, episodic_return=[-92.25859]
global_step=83304, episodic_return=[-25.511969]
global_step=83308, episodic_return=[-25.55832]
global_step=84708, episodic_return=[1.4027593]
global_step=85592, episodic_return=[-146.25334]
global_step=87240, episodic_return=[-19.535519]
global_step=87304, episodic_return=[-34.727005]
global_step=87564, episodic_return=[-209.46173]
global_step=89592, episodic_return=[16.11906]
SPS: 1290
global_step=91240, episodic_return=[1.6619937]
global_step=91304, episodic_return=[29.71434]
global_step=91564, episodic_return=[42.05874]
global_step=92580, episodic_return=[-109.02831]
global_step=93592, episodic_return=[49.420208]
global_step=95240, episodic_return=[88.90628]
global_step=95564, episodic_return=[-101.71423]
global_step=96580, episodic_return=[-7.40467]
